date,month,year,category,supersector,employment
1/31/1990,Jan,1990,Goods-Producing,Construction,44.3
1/31/1990,Jan,1990,Goods-Producing,Manufacturing,220.9
1/31/1990,Jan,1990,Goods-Producing,Mining and Logging,2
1/31/1990,Jan,1990,Government,State Government,59.3
1/31/1990,Jan,1990,Government,Local Government,135.4
1/31/1990,Jan,1990,Government,Federal Government,20.6
1/31/1990,Jan,1990,Service-Providing,Transportation and Utilities,45.1
1/31/1990,Jan,1990,Service-Providing,Professional and Business Services,68.3
1/31/1990,Jan,1990,Service-Providing,Wholesale Trade,63.3
1/31/1990,Jan,1990,Service-Providing,Leisure and Hospitality,100.6
1/31/1990,Jan,1990,Service-Providing,Retail Trade,158.8
1/31/1990,Jan,1990,Service-Providing,Information,30.2
1/31/1990,Jan,1990,Service-Providing,Financial Activities,68.5
1/31/1990,Jan,1990,Service-Providing,Education and Health Services,143.9
1/31/1990,Jan,1990,Service-Providing,Other Services,55.3
2/28/1990,Feb,1990,Goods-Producing,Manufacturing,220.4
2/28/1990,Feb,1990,Goods-Producing,Construction,44.7
2/28/1990,Feb,1990,Goods-Producing,Mining and Logging,1.9
2/28/1990,Feb,1990,Government,Local Government,135.6
2/28/1990,Feb,1990,Government,State Government,63.2
2/28/1990,Feb,1990,Government,Federal Government,20.6
2/28/1990,Feb,1990,Service-Providing,Professional and Business Services,68.4
2/28/1990,Feb,1990,Service-Providing,Wholesale Trade,63.4
2/28/1990,Feb,1990,Service-Providing,Retail Trade,159
2/28/1990,Feb,1990,Service-Providing,Transportation and Utilities,45.1
2/28/1990,Feb,1990,Service-Providing,Financial Activities,68.8
2/28/1990,Feb,1990,Service-Providing,Information,30.3
2/28/1990,Feb,1990,Service-Providing,Other Services,55.4
2/28/1990,Feb,1990,Service-Providing,Leisure and Hospitality,101.1
2/28/1990,Feb,1990,Service-Providing,Education and Health Services,144.5
3/31/1990,Mar,1990,Goods-Producing,Construction,44.5
3/31/1990,Mar,1990,Goods-Producing,Mining and Logging,2
3/31/1990,Mar,1990,Goods-Producing,Manufacturing,217.5
3/31/1990,Mar,1990,Government,State Government,61.4
3/31/1990,Mar,1990,Government,Federal Government,21.6
3/31/1990,Mar,1990,Government,Local Government,135.7
3/31/1990,Mar,1990,Service-Providing,Financial Activities,68.9
3/31/1990,Mar,1990,Service-Providing,Wholesale Trade,63.4
3/31/1990,Mar,1990,Service-Providing,Leisure and Hospitality,101.3
3/31/1990,Mar,1990,Service-Providing,Education and Health Services,144.9
3/31/1990,Mar,1990,Service-Providing,Professional and Business Services,68.7
3/31/1990,Mar,1990,Service-Providing,Retail Trade,159.3
3/31/1990,Mar,1990,Service-Providing,Transportation and Utilities,45.3
3/31/1990,Mar,1990,Service-Providing,Information,30.2
3/31/1990,Mar,1990,Service-Providing,Other Services,55.4
4/30/1990,Apr,1990,Goods-Producing,Manufacturing,218.1
4/30/1990,Apr,1990,Goods-Producing,Mining and Logging,2
4/30/1990,Apr,1990,Goods-Producing,Construction,44.5
4/30/1990,Apr,1990,Government,Federal Government,21.5
4/30/1990,Apr,1990,Government,Local Government,136.9
4/30/1990,Apr,1990,Government,State Government,60.9
4/30/1990,Apr,1990,Service-Providing,Education and Health Services,145.1
4/30/1990,Apr,1990,Service-Providing,Other Services,55.4
4/30/1990,Apr,1990,Service-Providing,Leisure and Hospitality,100.9
4/30/1990,Apr,1990,Service-Providing,Financial Activities,69.3
4/30/1990,Apr,1990,Service-Providing,Information,29.7
4/30/1990,Apr,1990,Service-Providing,Professional and Business Services,67.7
4/30/1990,Apr,1990,Service-Providing,Transportation and Utilities,44.7
4/30/1990,Apr,1990,Service-Providing,Retail Trade,160.2
4/30/1990,Apr,1990,Service-Providing,Wholesale Trade,63.8
5/31/1990,May,1990,Goods-Producing,Mining and Logging,2
5/31/1990,May,1990,Goods-Producing,Manufacturing,218.4
5/31/1990,May,1990,Goods-Producing,Construction,44.3
5/31/1990,May,1990,Government,Federal Government,23.2
5/31/1990,May,1990,Government,Local Government,137.1
5/31/1990,May,1990,Government,State Government,60.7
5/31/1990,May,1990,Service-Providing,Information,29.6
5/31/1990,May,1990,Service-Providing,Financial Activities,69.6
5/31/1990,May,1990,Service-Providing,Wholesale Trade,63.2
5/31/1990,May,1990,Service-Providing,Leisure and Hospitality,100.7
5/31/1990,May,1990,Service-Providing,Other Services,55.3
5/31/1990,May,1990,Service-Providing,Transportation and Utilities,44.6
5/31/1990,May,1990,Service-Providing,Retail Trade,160.5
5/31/1990,May,1990,Service-Providing,Professional and Business Services,67.3
5/31/1990,May,1990,Service-Providing,Education and Health Services,145.5
6/30/1990,Jun,1990,Goods-Producing,Mining and Logging,1.9
6/30/1990,Jun,1990,Goods-Producing,Manufacturing,218.6
6/30/1990,Jun,1990,Goods-Producing,Construction,43.6
6/30/1990,Jun,1990,Government,Local Government,137.6
6/30/1990,Jun,1990,Government,Federal Government,21.6
6/30/1990,Jun,1990,Government,State Government,60.4
6/30/1990,Jun,1990,Service-Providing,Education and Health Services,146.1
6/30/1990,Jun,1990,Service-Providing,Retail Trade,161.2
6/30/1990,Jun,1990,Service-Providing,Financial Activities,69.5
6/30/1990,Jun,1990,Service-Providing,Wholesale Trade,63.1
6/30/1990,Jun,1990,Service-Providing,Leisure and Hospitality,100.7
6/30/1990,Jun,1990,Service-Providing,Transportation and Utilities,44.5
6/30/1990,Jun,1990,Service-Providing,Other Services,55.3
6/30/1990,Jun,1990,Service-Providing,Professional and Business Services,68
6/30/1990,Jun,1990,Service-Providing,Information,29.5
7/31/1990,Jul,1990,Goods-Producing,Construction,44.5
7/31/1990,Jul,1990,Goods-Producing,Manufacturing,218.6
7/31/1990,Jul,1990,Goods-Producing,Mining and Logging,1.9
7/31/1990,Jul,1990,Government,Federal Government,21.3
7/31/1990,Jul,1990,Government,Local Government,140.3
7/31/1990,Jul,1990,Government,State Government,61.3
7/31/1990,Jul,1990,Service-Providing,Wholesale Trade,62.8
7/31/1990,Jul,1990,Service-Providing,Education and Health Services,146.7
7/31/1990,Jul,1990,Service-Providing,Transportation and Utilities,44.7
7/31/1990,Jul,1990,Service-Providing,Other Services,55.8
